GEOID,STUSPS,NAME,STATE_NAME,STATEFP,COUNTYFP,COUNTYNS, TOTAL_LAND_AREA ,LA_FRACTION_ME,LA_FRACTION_IE,LA_FRACTION_DE,LA_FRACTION_WTZ,LA_FRACTION_OW,LA_FRACTION_W, TOTAL_BUILDINGS ,BUILDINGS_FRACTION_ME,BUILDINGS_FRACTION_IE,BUILDINGS_FRACTION_DE, TOTAL_HOUSING_UNITS ,HU_FRACTION_ME,HU_FRACTION_IE,HU_FRACTION_DE,BP_MEAN,BP_STATE_RANK,BP_NATIONAL_RANK,CRPS_MEAN,CRPS_STATE_RANK,CRPS_NATIONAL_RANK,RPS_MEAN,RISK_STATE_RANK,RISK_NATIONAL_RANK, WHP_MEAN ,WHP_STATE_RANK,WHP_NATIONAL_RANK, EA_HUEXPOSED ,EA_HUEXPOSED_STATE_RANK,EA_HUEXPOSED_NATIONAL_RANK,EA_HUEXPOSED_FRACTION_IE,EA_HUEXPOSED_FRACTION_DE, EA_HURISK ,EA_HURISK_STATE_RANK,EA_HURISK_NATIONAL_RANK,EA_HURISK_FRACTION_IE,EA_HURISK_FRACTION_DE
01001,AL,"Autauga County, AL",Alabama,1,1,161526,509722,0.002339516,0.016298948,0.293827421,0.663819572,0.001194628,0.022519914,30450,0.082660099,0.232807882,0.68453202,24282,0.100426337,0.295752994,0.603820669,0.000546455,0.333,0.505,26.88365225,0.667,0.495,0.014816098,0.348,0.481,167.7418006,0.742,0.761,7.416368168,0.439,0.685,0.048046492,0.951953508,192.772955,0.439,0.666,0.04723148,0.95276852
01003,AL,"Baldwin County, AL",Alabama,1,3,161527,1503907,0.005272101,0.041426902,0.189338973,0.456756233,0.081247819,0.225957972,120300,0.070656692,0.272585204,0.656758105,123290,0.10426275,0.359829445,0.535907805,0.002932379,0.924,0.841,29.30007904,0.97,0.672,0.092154376,0.939,0.818,300.9479455,0.955,0.864,194.6349716,0.985,0.987,0.122692475,0.877307525,5746.306641,0.985,0.982,0.138543179,0.861456821
01005,AL,"Barbour County, AL",Alabama,1,5,161528,726038,0.000338788,0.008155732,0.171718218,0.756367981,0.031209269,0.032210012,18131,0.004853566,0.210578567,0.784567867,11553,0.004830772,0.291578969,0.703590259,0.000723543,0.455,0.564,27.53851328,0.803,0.554,0.020134863,0.47,0.543,105.2227718,0.394,0.654,5.010990598,0.318,0.61,0.055346442,0.944653558,132.755657,0.318,0.591,0.05545659,0.94454341
01007,AL,"Bibb County, AL",Alabama,1,7,161529,517344,0.00000387,0.004065,0.20955086,0.697641087,0.08201405,0.006725134,15033,0.0000665,0.093594093,0.906339387,8961,0.00000429,0.105346661,0.894649046,0.000902305,0.5,0.615,26.37981768,0.53,0.448,0.023820496,0.515,0.582,184.714298,0.788,0.777,7.388135783,0.424,0.683,0.027839265,0.972160735,190.217437,0.409,0.664,0.027245941,0.972754059
01009,AL,"Blount County, AL",Alabama,1,9,161530,547554,0.0000739,0.01305546,0.5169959,0.456869216,0,0.013005502,39896,0.001729497,0.087026268,0.911244235,24563,0.002470335,0.109299919,0.888229745,0.001361312,0.697,0.706,24.3590886,0.136,0.287,0.033149071,0.697,0.654,101.1418525,0.364,0.643,29.66916152,0.773,0.878,0.028182455,0.971817545,692.641253,0.758,0.851,0.029140895,0.970859105
01011,AL,"Bullock County, AL",Alabama,1,11,161531,523332,0.00000425,0.003311344,0.141162617,0.819688559,0.026525175,0.009308056,7927,0.000504605,0.154913586,0.844581809,4480,0.000332243,0.216081135,0.783586622,0.001007751,0.561,0.64,27.25182369,0.758,0.53,0.027696065,0.545,0.61,128.0359328,0.53,0.709,3.751813914,0.227,0.559,0.072097861,0.927902139,101.320783,0.258,0.543,0.073479071,0.926520929
01013,AL,"Butler County, AL",Alabama,1,13,161532,612844,0,0.004547818,0.201547245,0.742333722,0.048101199,0.003470016,16032,0,0.104603293,0.895396707,9722,0,0.141907647,0.858092353,0.000457514,0.258,0.471,27.09810309,0.727,0.513,0.012422641,0.273,0.445,136.8726637,0.576,0.718,3.385221851,0.182,0.536,0.023721729,0.976278271,88.657371,0.197,0.519,0.024109546,0.975890454
01015,AL,"Calhoun County, AL",Alabama,1,15,161533,519209,0.005031736,0.036870412,0.407499073,0.509362276,0.024985629,0.016250875,66791,0.035648516,0.258867213,0.705484272,52937,0.053384135,0.286352959,0.660262905,0.002597637,0.879,0.826,26.07478534,0.379,0.412,0.069243513,0.879,0.781,246.0942878,0.909,0.828,77.77628142,0.955,0.956,0.057764775,0.942235225,1860.682547,0.955,0.942,0.058721472,0.941278528
01017,AL,"Chambers County, AL",Alabama,1,17,161534,492695,0.000401739,0.010270086,0.265278514,0.695863347,0.00034667,0.027839644,23226,0.011624903,0.247438216,0.740936881,16319,0.015217142,0.303884364,0.680898493,0.001866449,0.803,0.771,26.44269199,0.545,0.455,0.04958606,0.803,0.727,146.4713826,0.621,0.73,16.54694418,0.621,0.802,0.039088008,0.960911992,401.95006,0.606,0.78,0.03889209,0.96110791
01019,AL,"Cherokee County, AL",Alabama,1,19,161535,502566,0.002968029,0.032525294,0.308661272,0.586622674,0.005495743,0.063726989,23948,0.075580424,0.109361951,0.815057625,14472,0.082205442,0.104415891,0.813378667,0.002640391,0.894,0.829,25.81819003,0.318,0.385,0.069685691,0.894,0.782,322.9529795,0.97,0.877,26.07056747,0.697,0.864,0.02897352,0.97102648,635.027316,0.712,0.842,0.029208714,0.970791286
