fpa_id,fire_year,discovery_date,discovery_doy,nwcg_cause_classification,nwcg_general_cause,fire_size,fire_size_class,latitude,longitude,state,county,fips_code
ICS209_2016_4326262,2016.0,3/8/2016,68.0,Human,Missing data/not specified/undetermined,7500.0,G,30.4791667,-86.8263889,FL,Santa Rosa,12113.0
ICS209_2017_7133019,2017.0,7/13/2017,194.0,Natural,Natural,3621.0,F,46.048783,-113.646767,MT,Granite,30039.0
ICS209_2016_4384597,2016.0,6/30/2016,182.0,Human,Missing data/not specified/undetermined,3400.0,F,45.6244444,-121.0669444,OR,Wasco,41065.0
ICS209_2017_7141806,2017.0,3/3/2017,62.0,Human,Missing data/not specified/undetermined,2412.0,F,35.9058333,-98.1794444,OK,Kingfisher,40073.0
ICS209_2016_4383413,2016.0,6/26/2016,178.0,Natural,Natural,1200.0,F,30.6497222,-86.6516667,FL,Okaloosa,12091.0
ICS209_2017_7174782,2017.0,3/4/2017,63.0,Missing data/not specified/undetermined,Missing data/not specified/undetermined,1200.0,F,38.10095,-97.85094,KS,Reno,20155.0
ICS209_2017_7206989,2017.0,9/16/2017,259.0,Natural,Natural,1200.0,F,35.4975,-107.35805559,NM,McKinley,35031.0
ICS209_2017_7211175,2017.0,6/29/2017,180.0,Missing data/not specified/undetermined,Missing data/not specified/undetermined,1200.0,F,35.9579,-121.2701,CA,Monterey,6053.0
ICS209_2016_4413665,2016.0,7/15/2016,197.0,Human,Missing data/not specified/undetermined,1050.0,F,31.7136111,-111.2702778,AZ,Pima,4019.0
FS-6957513,2019.0,8/5/2019,217.0,Natural,Natural,1352.0,F,46.96305556,-112.44083333,MT,49.0,30049.0
FS-6921937,2019.0,3/19/2019,78.0,Human,Power generation/transmission/distribution,1028.0,F,40.69916667,-104.00305556,CO,123.0,8123.0
FS-6955224,2019.0,5/28/2019,148.0,Natural,Natural,1905.0,F,33.73527778,-109.13361111,AZ,11.0,4011.0
FS-6968600,2019.0,6/30/2019,181.0,Natural,Natural,4500.0,F,31.44861111,-109.02666667,NM,Hidalgo,35023
FS-6964804,2019.0,7/2/2019,183.0,Natural,Natural,1075.0,F,33.21055556,-108.52388889,NM,3.0,35003.0
FS-6954521,2019.0,6/29/2019,180.0,Natural,Natural,1235.0,F,33.16361111,-107.90527778,NM,17.0,35017.0
FS-6948390,2019.0,8/6/2019,218.0,Natural,Natural,1173.0,F,34.71833333,-112.68027778,AZ,25.0,4025.0
FS-6948109,2019.0,8/5/2019,217.0,Natural,Natural,21510.0,G,34.67777778,-112.89027778,AZ,25.0,4025.0
FS-6972290,2019.0,10/10/2019,283.0,Human,Power generation/transmission/distribution,8794.0,G,34.32833333,-118.48027778,CA,37.0,6037.0
FS-6959693,2019.0,8/4/2019,216.0,Natural,Natural,2735.0,F,33.72916667,-111.59472222,AZ,13.0,4013.0
FS-6978386,2019.0,9/5/2019,248.0,Natural,Natural,5330.0,G,40.10888889,-122.78888889,CA,103.0,6103.0
FS-6928489,2019.0,3/23/2019,82.0,Human,Missing data/not specified/undetermined,2121.0,F,36.86916667,-92.95861111,MO,43.0,29043.0
FS-6948728,2019.0,8/3/2019,215.0,Natural,Natural,1815.0,F,47.70333333,-113.4,MT,29.0,30029.0
FS-6990700,2019.0,6/30/2019,181.0,Natural,Natural,2280.0,F,34.16416667,-109.58055556,AZ,1.0,4001.0
FS-6951916,2019.0,8/5/2019,217.0,Human,Equipment and vehicle use,2272.0,F,36.55416667,-103.12694444,NM,59.0,35059.0
FS-6984465,2019.0,7/12/2019,193.0,Natural,Natural,4500.0,F,34.53277778,-111.19138889,AZ,5.0,4005.0
FS-6984350,2019.0,7/13/2019,194.0,Natural,Natural,1008.0,F,34.69527778,-111.19472222,AZ,5.0,4005.0
FS-6966980,2019.0,8/3/2019,215.0,Natural,Natural,1770.0,F,33.66194444,-108.41055556,NM,3.0,35003.0
FS-6951581,2019.0,8/6/2019,218.0,Natural,Natural,4039.0,F,35.39277778,-112.01083333,AZ,5.0,4005.0
FS-6940817,2019.0,7/14/2019,195.0,Natural,Natural,7512.0,G,34.24305556,-112.4875,AZ,25.0,4025.0
FS-6946888,2019.0,7/26/2019,207.0,Natural,Natural,2650.0,F,37.58833333,-112.31972222,UT,17.0,49017.0
